,Marque,reseau,exploit,prix,écran
0,Samsung Galaxy Note10 256 Go Double SIM Noir,['Réseau 4G'],['Mémoire 256 Go / RAM 8 Go'],"['546,88 €']","['Ecran 6.3""']"
1,OnePlus Nord N100 Dual SIM 64 Go Midnight Frost,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],"['172,58 €']","['Ecran 6.52""']"
2,Huawei P40 lite 128 Go Double SIM Vert crush (Services Google non intégrés),['Réseau 4G'],['Mémoire 128 Go / RAM 6 Go'],"['196,59 €']","['Ecran 6.4""']"
3,Xiaomi Poco X3 NFC Dual-SIM 64 Go Bleu,['Android'],['Double SIM'],"['203,79 €']",['Mémoire 64 Go / RAM 6 Go']
4,Xiaomi Mi 10T Dual-SIM 128 Go Noir,['Android'],['Double SIM'],"['409,99 €']",['Mémoire 128 Go / RAM 8 Go']
5,Huawei P30 lite 128 Go (RAM 4 Go) Double SIM Bleu paon,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['214,50 €']","['Ecran 6.15""']"
6,Samsung Galaxy Note9 128 Go Double SIM Noir,['Réseau 4G'],['Mémoire 128 Go / RAM 6 Go'],['374 €'],"['Ecran 6.4""']"
7,Samsung Galaxy S9 64 Go Double SIM Noir,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],['270 €'],"['Ecran 5.8""']"
8,Huawei P20 lite 64 Go Double SIM Noir minuit,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],['189 €'],"['Ecran 5.84""']"
9,Samsung Galaxy A51 128 Go Double SIM Blanc,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['289,99 €']","['Ecran 6.5""']"
10,Smartphone SAMSUNG Galaxy A42 5G 128 Go Noir,['Réseau 5G'],['Mémoire 128 Go / RAM 4 Go'],"['320,88 €']","['Ecran 6.6""']"
11,Google Pixel 5 128 Go Noir,['Réseau 5G'],['Mémoire 128 Go / RAM 8 Go'],['825 €'],"['Ecran 6""']"
12,Xiaomi MI 9T Pro 128 Go Double SIM Bleu glacier,['Réseau 4G'],['Mémoire 128 Go / RAM 6 Go'],['399 €'],"['Ecran 6.39""']"
13,Xiaomi Redmi Note 8 64 Go Double SIM Bleu neptune,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],"['159,40 €']","['Ecran 6.3""']"
14,Samsung Galaxy Note20 5G 256 Go Double SIM Or,['Réseau 5G'],['Mémoire 256 Go / RAM 8 Go'],"['678,88 €']","['Ecran 6.7""']"
15,Samsung Galaxy Note10 Lite 128 Go Double SIM Bleu,['Réseau 4G'],['Mémoire 128 Go / RAM 6 Go'],"['399,88 €']","['Ecran 6.7""']"
16,Crosscall Core X4 32 Go Double SIM Noir,['Réseau 4G'],['Mémoire 32 Go / RAM 3 Go'],"['399,99 €']","['Ecran 5.45""']"
17,Xiaomi Redmi Note 8 Pro 64 Go Double SIM Bleu océan,['Réseau 4G'],['Mémoire 64 Go / RAM 6 Go'],"['188,88 €']","['Ecran 6.53""']"
18,Realme 7 64 Go Double SIM 6 Go RAM Bleu,['Réseau 4G'],['Mémoire 64 Go / RAM 6 Go'],['199 €'],"['Ecran 6.5""']"
19,Samsung Galaxy A3 (2017) 16 Go Noir,['Réseau 4G'],['Mémoire 16 Go / RAM 2 Go'],"['98,98 €']","['Ecran 4.7""']"
20,Google Pixel 4a with 5G 128 Go Noir,['Réseau 5G'],['Mémoire 128 Go / RAM 6 Go'],"['651,84 €']","['Ecran 6.2""']"
21,OPPO A9 2020 128 Go Double SIM Vert,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['272,89 €']","['Ecran 6.5""']"
22,OnePlus Nord 256 Go Double SIM Bleu marbre,['Mémoire 256 Go / RAM 12 Go'],['Android'],"['582,79 €']",['Réseau 5G']
23,Huawei P Smart 2020 128 Go Double SIM Bleu Aurore,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['266,11 €']","['Ecran 6.21""']"
24,Xiaomi Mi Note 10 Lite Double SIM 64 Go Blanc,['Double SIM'],['Couleur Blanc glacier'],"['322,02 €']",['Android']
25,Samsung Galaxy A20e 32 Go Double SIM Noir,['Réseau 4G'],['Mémoire 32 Go / RAM 3 Go'],"['143,99 €']","['Ecran 5.8""']"
26,Huawei P30 128 Go Double SIM Noir Minuit,['Réseau 4G'],['Mémoire 128 Go / RAM 6 Go'],"['398,90 €']","['Ecran 6.1""']"
27,Huawei P30 Pro 256 Go Double SIM Argent givré,['Réseau 4G'],['Mémoire 256 Go / RAM 8 Go'],['588 €'],"['Ecran 6.47""']"
28,Xiaomi Redmi Note 9 128 Go Double SIM Gris anthracite,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['284,53 €']","['Ecran 6.53""']"
29,Huawei Y5p 32 Go Double SIM Noir minuit,['Réseau 4G'],['Mémoire 32 Go / RAM 2 Go'],"['98,90 €']","['Ecran 5.45""']"
30,OPPO A72 128 Go Double SIM Noir crépuscule,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],['219 €'],"['Ecran 6.5""']"
31,Honor 9X 128 Go Double SIM Bleu saphir,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['179,89 €']","['Ecran 6.59""']"
32,Apple iPhone SE 64 Go Gris,['Réseau 4G'],['iOS 9'],"['134,99 €']","['Ecran 4""']"
33,Crosscall Core M4 32 Go Double SIM Noir,['Réseau 4G'],['Mémoire 32 Go / RAM 2 Go'],"['278,71 €']","['Ecran 4.95""']"
